year,title,budget,domgross,intgross,code,budget_2013,domgross_2013,intgross_2013,rated,response,language,country,writer,metascore,imdb_rating,director,released_day,released_month,released,actors,genre,awards,runtime,type,imdb_votes,released_year,Budget,Domestic,International
2013,Parker,35000000,17616641.0,46346651.0,2013PASS,35000000,17616641.0,46346651.0,R,True,English,USA,"John J. McLaughlin (screenplay), Donald E. Westlake (novel)",43.0,6.2,Taylor Hackford,25,January,2013-01-25,"Jason Statham, Jennifer Lopez, Michael Chiklis, Wendell Pierce",Action,,118 min,movie,"59,992",2013,35,17,46
2013,Peeples,15000000,9177065.0,9177065.0,2013FAIL,15000000,9177065.0,9177065.0,PG-13,True,English,USA,Tina Gordon Chism,52.0,5.0,Tina Gordon Chism,10,May,2013-05-10,"Craig Robinson, Kerry Washington, David Alan Grier, S. Epatha Merkerson",Comedy,5 nominations.,95 min,movie,"2,664",2013,15,9,9
2013,Percy Jackson: Sea of Monsters,90000000,68559554.0,200859554.0,2013PASS,90000000,68559554.0,200859554.0,PG,True,English,USA,"Marc Guggenheim (screenplay), Rick Riordan (based upon the novel ""Percy Jackson and the Olympians: The Sea of Monsters"" written by)",39.0,6.0,Thor Freudenthal,7,August,2013-08-07,"Logan Lerman, Alexandra Daddario, Douglas Smith, Leven Rambin",Adventure,1 win & 3 nominations.,106 min,movie,"52,311",2013,90,68,200
2013,Prisoners,46000000,61002302.0,113402302.0,2013PASS,46000000,61002302.0,113402302.0,R,True,English,USA,Aaron Guzikowski,74.0,8.1,Denis Villeneuve,20,September,2013-09-20,"Hugh Jackman, Jake Gyllenhaal, Viola Davis, Maria Bello",Crime,Nominated for 1 Oscar. Another 5 wins & 15 nominations.,153 min,movie,"1,78,743",2013,46,61,113
2013,R.I.P.D.,130000000,33618855.0,79019947.0,2013FAIL,130000000,33618855.0,79019947.0,PG-13,True,English,USA,"Phil Hay (screenplay), Matt Manfredi (screenplay), David Dobkin (story), Phil Hay (story), Matt Manfredi (story), Peter M. Lenkov (Dark Horse comic)",25.0,5.6,Robert Schwentke,19,July,2013-07-19,"Jeff Bridges, Ryan Reynolds, Kevin Bacon, Mary-Louise Parker",Action,,96 min,movie,"54,542",2013,130,33,79
2013,Riddick,38000000,42025135.0,92425135.0,2013FAIL,38000000,42025135.0,92425135.0,R,True,English,USA,"David Twohy, Jim Wheat (based on characters created by), Ken Wheat (based on characters created by)",49.0,6.4,David Twohy,6,September,2013-09-06,"Vin Diesel, Jordi Mollà, Matt Nable, Katee Sackhoff",Action,1 nomination.,119 min,movie,"74,501",2013,38,42,92
2013,Runner Runner,30000000,19316646.0,62616646.0,2013FAIL,30000000,19316646.0,62616646.0,R,True,English,USA,"Brian Koppelman, David Levien",36.0,5.6,Brad Furman,4,October,2013-10-04,"Justin Timberlake, Ben Affleck, Gemma Arterton, Anthony Mackie",Crime,,91 min,movie,"30,777",2013,30,19,62
2013,Rush,38000000,26947624.0,43047624.0,2013FAIL,38000000,26947624.0,43047624.0,R,True,"English, German, Italian, French",USA,Peter Morgan,75.0,8.3,Ron Howard,27,September,2013-09-27,"Chris Hemsworth, Daniel Brühl, Olivia Wilde, Alexandra Maria Lara",Action,Nominated for 2 Golden Globes. Another 4 wins & 33 nominations.,123 min,movie,"1,40,946",2013,38,26,43
2013,Safe Haven,28000000,71399120.0,93943623.0,2013PASS,28000000,71399120.0,93943623.0,PG-13,True,"English, Portuguese",USA,"Dana Stevens (screenplay), Gage Lansky (screenplay), Nicholas Sparks (based upon the novel by)",34.0,6.7,Lasse Hallström,14,February,2013-02-14,"Julianne Hough, Irene Ziegler, Jon Kohler, Tim Parati",Drama,2 wins & 6 nominations.,115 min,movie,"41,770",2013,28,71,93
2013,Saving Mr. Banks,35000000,82834332.0,100734332.0,2013PASS,35000000,82834332.0,100734332.0,PG-13,True,English,USA,"Kelly Marcel, Sue Smith",65.0,7.7,John Lee Hancock,20,December,2013-12-20,"Emma Thompson, Tom Hanks, Annie Rose Buckley, Colin Farrell",Biography,Nominated for 1 Oscar. Another 9 wins & 45 nominations.,125 min,movie,"40,567",2013,35,82,100
